编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:53:11.175,,11:53:11.701,14.200,525.700
2,auto_reconnect_1,11:53:14.176,,11:53:14.728,23.200,552.100
3,auto_reconnect_2,11:53:17.202,,11:53:17.765,23.500,563.100
4,auto_reconnect_3,11:53:20.227,,11:53:20.792,19.500,564.900
5,auto_reconnect_4,11:53:23.249,,11:53:23.820,20.400,571.200
6,auto_reconnect_5,11:53:26.271,,11:53:26.823,19.600,551.700
7,auto_reconnect_6,11:53:29.293,,11:53:29.854,19.800,561.000
8,auto_reconnect_7,11:53:32.317,,11:53:32.869,24.000,552.100
9,auto_reconnect_8,11:53:35.344,,11:53:35.901,19.600,557.000
10,auto_reconnect_9,11:53:38.366,,11:53:38.928,22.200,562.000
11,auto_reconnect_10,11:53:41.391,,11:53:41.957,20.600,565.600
