编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:21:49.821,,11:21:50.210,65.100,389.300
2,auto_reconnect_1,11:21:55.279,,11:21:55.826,29.000,546.800
3,auto_reconnect_2,11:21:58.311,,11:21:58.849,19.100,538.500
4,auto_reconnect_3,11:22:01.332,,11:22:01.867,19.300,535.100
5,auto_reconnect_4,11:22:04.355,,11:22:04.898,21.000,542.800
6,auto_reconnect_5,11:22:07.378,,11:22:07.926,19.900,548.000
7,auto_reconnect_6,11:22:10.401,,11:22:10.955,21.600,554.400
8,auto_reconnect_7,11:22:13.426,,11:22:13.968,19.200,541.300
9,auto_reconnect_8,11:22:16.449,,11:22:16.992,21.200,542.500
10,auto_reconnect_9,11:22:19.473,,11:22:20.029,19.500,556.000
11,auto_reconnect_10,11:22:22.495,,11:22:23.047,20.800,551.500
